¦Titol¦Autor¦Autor_id¦Editorial¦Preu_soci¦Preu_Public¦Tipus_Producte¦EAN¦Ref_Abacus¦Encuadernacio¦Coleccio¦Materia¦Ruta¦Data
0¦Si ens ensenyessin a perdre, guanyaríem sempre¦Espinosa, Albert¦A000625686¦Rosa dels Vents¦17,95€¦18,90€¦Libro¦9788417909031¦1343343.41¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
1¦Línea de fuego¦Pérez-Reverte, Arturo¦A000624586¦Alfaguara¦21,75€¦22,90€¦Libro¦9788420454665¦1342650.30¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
2¦Las tinieblas y el alba¦Follett, Ken¦A000067126¦Plaza & Janés¦23,65€¦24,90€¦Libro¦9788401022876¦1339969.37¦Cartoné¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
3¦Patria¦Aramburu, Fernando¦A000505106¦Tusquets¦13,25€¦13,95€¦Libro¦9788490668344¦1339190.11¦Rústico¦MAXI¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
4¦Libro tibetano de la vida y de la muerte¦Rimpoché, Sogyal¦A000508530¦Urano¦18,05€¦19,00€¦Libro¦9788479539030¦1104205.76¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
5¦Dime qué comes y te diré qué bacterias tienes¦García, Blanca¦A000636641¦Grijalbo¦18,90€¦19,90€¦Libro¦9788417752927¦1343337.74¦¦¦¦Inicio \ Libros \ Libros de Estilo de vida y Salud \ Bienestar y salud¦2020-11-06
6¦M'explico¦Puigdemont, Carles¦A000149172¦La Campana¦20,80€¦21,90€¦Libro¦9788416863914¦1328540.52¦¦Actualitat¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
7¦Si nos enseñaran a perder, ganaríamos siempre¦Espinosa, Albert¦A000625686¦Grijalbo¦17,95€¦18,90€¦Libro¦9788425358258¦1343397.38¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
8¦Sol de medianoche¦Meyer, Stephenie¦A000622995¦Alfaguara¦18,95€¦19,95€¦Libro¦9788420456591¦1339470.71¦¦¦¦Inicio \ Libros infantiles \ Literatura juvenil¦2020-11-06
9¦Paraula de jueu¦Gironell, Martí¦A000600993¦Columna Edicions¦20,42€¦21,50€¦Libro¦9788466426930¦1339839.15¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
10¦Les tenebres i l'alba¦Follett, Ken¦A000067126¦Rosa dels Vents¦23,65€¦24,90€¦Libro¦9788417909505¦1339970.83¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
11¦Dolça introducció al caos¦Orriols Balaguer, Marta¦4000667543¦Periscopi¦16,62€¦17,50€¦Libro¦9788417339494¦1344190.59¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
12¦L'enigma de l'habitació 622¦Dicker, Joël¦4000653959¦La Campana¦21,75€¦22,90€¦Libro¦9788416863716¦1333748.82¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
13¦La lluita a l'exili¦Puigdemont, Carles¦A000149172¦La Campana¦20,80€¦21,90€¦Libro¦9788416863952¦1340118.27¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
14¦En marxa cuina!¦Ribas, Marc¦4000677852¦Cossetània¦17,95€¦18,90€¦Libro¦9788490349458¦1328235.51¦¦Sensacions¦¦Inicio \ Libros \ Libros de Estilo de vida y Salud \ Estilo de vida y manualidades¦2020-11-06
15¦Guia de bolets dels Països Catalans¦Pascual, Ramon¦A000139747¦Cossetània¦24,22€¦25,50€¦Libro¦9788490342435¦1091973.09¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias naturales¦2020-11-06
16¦Rabietas¦Tirado Torras, Míriam¦4000675069¦Urano¦17,10€¦18,00€¦Libro¦9788416720965¦1330162.97¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología¦2020-11-06
17¦Ànima de tramuntana¦Esponellà, Núria¦A000514985¦Columna Edicions¦20,42€¦21,50€¦Libro¦9788466426961¦1339296.60¦Cartoné¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
18¦Destrossa Aquest Diari¦Smith, Keri¦A000651078¦Columna Edicions¦9,45€¦9,95€¦Libro¦9788466419130¦1099187.73¦¦No ficció¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología¦2020-11-06
19¦Els nois de la NickEl¦Whitehead, Colson¦A000513387¦Periscopi¦18,90€¦19,90€¦Libro¦9788417339463¦1341183.18¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
20¦Capitalismo (1679-2065)¦Niño Becerra, Santiago¦A000632659¦Ariel¦19,85€¦20,90€¦Libro¦9788434432956¦1340309.42¦¦¦¦Inicio \ Libros \ Libros de Economía, Empresa y Derecho \ Economía¦2020-11-06
21¦La vida contada por un sapiens a un neandertal¦Millás, Juan José¦A000507465¦Alfaguara¦17,95€¦18,90€¦Libro¦9788420439655¦1341420.12¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
22¦La mansión. Tiempos de tormenta¦Jacobs, Anne¦4000672465¦Plaza & Janés¦18,90€¦19,90€¦Libro ¦9788401024269¦1343305.53¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
23¦No diguis res¦Keefe, Patrick Radden¦4000693724¦Periscopi¦21,75€¦22,90€¦Libro¦9788417339470¦1341576.00¦Rústico¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
24¦El Enigma De La Habitación 622¦Dicker, Joël¦4000653959¦Alfaguara¦21,75€¦22,90€¦Libro¦9788420439389¦1333770.76¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
25¦Ubuntu¦Romeva i Rueda, Raül¦A000515274¦Angle¦16,05€¦16,90€¦Libro¦9788418197208¦1344385.17¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
26¦Canto jo i la muntanya balla¦Solà, Irene¦4000678379¦Anagrama¦16,05€¦16,90€¦Libro¦9788433915689¦1295325.86¦Rústico¦Llibres Anagrama¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
27¦Sapiens. De animales a dioses¦Harari, Noah Yuval¦4000658031¦Debate¦18,90€¦19,90€¦Libro¦9788499926223¦1131442.83¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
28¦Escac al destí¦Llach, Lluís¦A000549352¦Univers¦19,00€¦20,00€¦Libro¦9788417868550¦1329177.11¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
29¦Cocina comida real¦Ríos, Carlos¦4000685766¦Paidós¦17,95€¦18,90€¦Libro¦9788449336836¦1325982.74¦¦Autoayuda¦¦Inicio \ Libros \ Libros de Estilo de vida y Salud \ Estilo de vida y manualidades¦2020-11-06
30¦Rompamos el hielo¦Safier, David¦A000635533¦Seix Barral¦16,62€¦17,50€¦Libro¦9788432237072¦1340316.65¦¦Biblioteca Formentor¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
31¦50 palos¦Donés, Pau¦4000671341¦Booket¦8,50€¦8,95€¦Libro¦9788408193760¦1255759.28¦¦Divulgación¦¦Inicio \ Libros \ Libros de Arte, Cine y Música¦2020-11-06
32¦Paraules que tu entendràs¦Bosch, Xavier¦A000536945¦Columna Edicions¦19,95€¦21,00€¦Libro¦9788466425377¦1306547.37¦¦Clàssica¦¦Inicio \ Campaigns \ El instante és el regalo \ Momento Indoor \ Top libros¦2020-11-06
33¦L'endemà de les grans epidèmies¦Ruiz-Domènec, José Enrique¦A000643532¦Rosa dels Vents¦16,05€¦16,90€¦Libro¦9788418033230¦1343363.29¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias naturales¦2020-11-06
34¦Generació tap¦Sala i Culell, Josep¦4000694309¦Ara Llibres¦17,95€¦18,90€¦Libro¦9788416915682¦1344648.26¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
35¦El arte de no amargarse la vida¦Santandreu, Rafael¦A000635033¦Grijalbo¦16,05€¦16,90€¦Libro¦9788425355868¦1228326.24¦¦Autoayuda y superación¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología¦2020-11-06
36¦Patria¦Aramburu, Fernando¦A000505106¦Tusquets Bolsillo¦13,25€¦13,95€¦Libro¦9788490667316 ¦1308399.10¦¦Maxi¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
37¦Pàtria¦Aramburu, Fernando¦A000505106¦Columna Edicions¦21,75€¦22,90€¦Libro¦9788466424967¦1285873.23¦¦Clàssica¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
38¦Sol de mitjanit¦Meyer, Stephenie¦A000622995¦Fanbooks¦18,95€¦19,95€¦Libro¦9788418327162¦1339313.53¦¦¦¦Inicio \ Libros infantiles \ Literatura juvenil¦2020-11-06
39¦La Buena suerte¦Montero, Rosa¦A000013838¦Alfaguara¦18,90€¦19,90€¦Libro¦9788420439457¦1337114.17¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
40¦After. En mil pedazos¦Todd, Anna¦4000658584¦Booket¦8,50€¦8,95€¦Libro¦9788408187073¦1245127.90¦¦Bestseller¦¦Inicio \ Libros infantiles \ Literatura juvenil¦2020-11-06
41¦La Puerta¦Loureiro, Manel¦A000624532¦Planeta¦17,95€¦18,90€¦Libro¦9788408233206¦1340209.29¦¦Autores españoles e iberoamericanos¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
42¦Fuertes, libres y nómadas¦Punset, Elsa¦A000625683¦Destino¦17,95€¦18,90€¦Libro¦9788423358021¦1339127.67¦¦Imago mundi¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología¦2020-11-06
43¦La vida mentirosa de los adultos¦Ferrante, Elena¦A000544413¦Lumen¦18,90€¦19,90€¦Libro¦9788426408341¦1337124.96¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
44¦El futur del català depèn de tu¦Junyent, Carme¦A000500774¦La Campana¦14,15€¦14,90€¦Libro¦9788416863754¦1340613.30¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
45¦El bosque de los cuatro vientos¦Oruña, María¦4000661385¦Destino¦19,85€¦20,90€¦Libro¦9788423357543¦1331906.57¦¦Áncora y Delfin¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
46¦La Biblia de MasterChef¦Shine¦4000674394¦Espasa¦23,70€¦24,95€¦Libro¦9788467058895¦1330285.62¦¦¦¦Inicio \ Libros \ Libros de Estilo de vida y Salud \ Estilo de vida y manualidades¦2020-11-06
47¦50 palos¦¦¦Planeta¦17,95€¦18,90€¦Libro¦9788408166610¦1183668.49¦¦¦¦Inicio \ Libros \ Libros de Arte, Cine y Música¦2020-11-06
48¦Reina Roja¦Gómez-Jurado, Juan¦A000553133¦Ediciones B¦19,85€¦20,90€¦Libro¦9788466664417¦1265230.81¦Cartoné¦La trama¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
49¦Atena (curs 2020-2021)¦Aavv¦A000500090¦RBA. La Magrana¦14,25€¦15,00€¦Libro¦9788482648569¦1334198.20¦Rústico¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
50¦Tornarem a vèncer¦Junqueras, Oriol¦A000098070¦Ara Llibres¦10,35€¦10,90€¦Libro¦9788417804572¦1341607.07¦¦Idees¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
51¦La Madre De Frankenstein¦¦¦¦21,75€¦22,90€¦Material complementario de texto¦9788490667804¦1323026.95¦Rústico¦Andanzas¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
52¦Mar D'estiu¦Nadal, Rafel¦A000644055¦Univers¦17,57€¦18,50€¦Libro¦9788417868444¦1329192.96¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
53¦L'espia Del Ritz¦Rahola, Pilar¦A000513283¦Columna Edicions¦20,42€¦21,50€¦Libro¦9788466426343¦1329227.28¦¦Clàssica¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
54¦Un Cuento Perfecto¦Benavent, Elisabet¦4000654311¦Suma¦17,00€¦17,90€¦Libro¦9788491291916¦1320343.09¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
55¦Crónica de una muerte anunciada¦¦¦¦9,45€¦9,95€¦Material complementario de texto¦9788497592437¦44215.77¦¦Contemporánea¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
56¦La villa de las telas¦Jacobs, Anne¦4000672465¦Debolsillo¦9,45€¦9,95€¦Libro¦9788466346238¦1335615.17¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
57¦Me Explico. De La Investidura Al Exilio¦Puigdemont, Carles¦A000149172¦Plaza & Janés¦20,80€¦21,90€¦Libro¦9788401025259¦1328539.00¦¦Obras diversas¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
58¦Tirant lo Blanc. Episodis amorosos¦¦¦¦11,35€¦11,95€¦Material complementario de texto¦9788415192947¦1051787.80¦¦Educació 62¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
59¦A propòsit de no res¦Allen, Woody¦A000004934¦Alianza¦18,52€¦19,50€¦Libro¦9788413620305¦1336855.98¦Rústico¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
60¦Luces de Bohemia¦¦¦¦10,40€¦10,95€¦Material complementario de texto¦9788467047035¦1143053.10 ¦¦¦¦Inicio \ Libros \ Libros de Teatro, Poesía y Relatos¦2020-11-06
61¦Permagel¦Baltasar, Eva¦A000630372¦Club Editor¦15,67€¦16,50€¦Libro¦9788473292269¦1233572.83¦¦Club dels novel·listes¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
62¦La novia gitana¦Mola, Carmen¦4000678080¦Alfaguara¦18,90€¦19,90€¦Libro¦9788420433189¦1233104.25¦¦Negra¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
63¦La sombra del viento¦¦¦¦10,40€¦10,95€¦Material complementario de texto¦9788408163435¦1171267.26¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
64¦Nada¦¦¦¦8,50€¦8,95€¦Material complementario de texto¦9788423356980¦1322948.37¦¦Contemporánea¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
65¦El tatuador de Auschwitz¦Morris, Heather¦4000681368¦Booket¦9,45€¦9,95€¦Libro¦9788467059533¦1331990.22¦¦Novela¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
66¦Entre el cel i la terra¦Quintana, Gerard¦A000532053¦Columna Edicions¦19,47€¦20,50€¦Libro¦9788466424806¦1283238.29¦¦Clàssica¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
67¦Mirall trencat¦¦¦¦11,87€¦12,50€¦Material complementario de texto¦9788473292245¦1229328.36¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
68¦Terra baixa¦¦¦¦9,45€¦9,95€¦Material complementario de texto¦9788492672875¦14767.40¦¦Educació 62¦¦Inicio \ Libros \ Libros de Teatro, Poesía y Relatos¦2020-11-06
69¦Segunda antología de la poesía española¦¦¦¦10,40€¦10,95€¦Material complementario de texto¦9788467041996¦1088918.00¦¦Educación¦¦Inicio \ Libros \ Libros de Teatro, Poesía y Relatos¦2020-11-06
70¦Toda la verdad de mis mentiras¦Benavent, Elisabet¦4000654311¦Debolsillo¦9,45€¦9,95€¦Libro¦9788466349864¦1320288.52¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
71¦El Juego Del Ángel¦Ruiz Zafón, Carlos¦A000513023¦Booket¦10,40€¦10,95€¦Libro¦9788408163442¦1171268.80¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
