¦Titol¦Autor¦Autor_id¦Editorial¦Preu_soci¦Preu_Public¦Tipus_Producte¦EAN¦Ref_Abacus¦Encuadernacio¦Coleccio¦Materia¦Ruta
0¦El Ickabog¦Rowling, J.K.¦A000507494¦Salamandra¦18,05€¦19,00€¦Libro¦ 9788418174353¦1345085.66¦¦¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 12 años
1¦Les tenebres i l'alba¦Follett, Ken¦A000067126¦Rosa dels Vents¦23,65€¦24,90€¦Libro¦9788417909505¦1339970.83¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
2¦Las tinieblas y el alba¦Follett, Ken¦A000067126¦Plaza & Janés¦23,65€¦24,90€¦Libro¦9788401022876¦1339969.37¦Cartoné¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
3¦Sol de medianoche¦Meyer, Stephenie¦A000622995¦Alfaguara¦18,95€¦19,95€¦Libro¦9788420456591¦1339470.71 ¦¦¦¦Inicio \ Libros infantiles \ Literatura juvenil
4¦Sol de mitjanit¦Meyer, Stephenie¦A000622995¦Fanbooks¦18,95€¦19,95€¦Libro¦9788418327162¦1339313.53¦¦¦¦Inicio \ Libros infantiles \ Literatura juvenil
5¦La Buena suerte¦Montero, Rosa¦A000013838¦Alfaguara¦18,90€¦19,90€¦Libro¦9788420439457¦1337114.17¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
6¦Paraula de jueu¦Gironell, Martí¦A000600993¦Columna Edicions¦20,42€¦21,50€¦Libro¦9788466426930¦1339839.15¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
7¦Una aventura superguai¦Kinney, Jeff¦A000626925¦Estrella Polar¦14,25€¦15,00€¦Libro¦9788418134890¦1339834.83¦Cartoné¦Diari del Rowley¦¦Inicio \ Libros infantiles \ Literatura infantil \ A partir de 9 años
8¦El espejo de nuestras penas¦Lemaitre, Pierre¦4000652863¦Salamandra¦19,95€¦21,00€¦Libro¦9788418107337¦1337115.65¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
9¦Como polvo en el viento¦Padura, Leonardo¦A000525221¦Tusquets¦21,75€¦22,90€¦Libro¦9788490668610¦1339204.65¦Rústico¦Andanzas¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
10¦El fil invisible¦Tirado Torras, Míriam¦4000675069¦B de Blok¦23,70€¦24,95€¦Libro¦9788417921354¦1340562.86¦¦¦¦Inicio \ Libros infantiles \ Libros para aprender \ Medio natural
11¦La vida mentirosa de los adultos¦Ferrante, Elena¦A000544413¦Lumen¦18,90€¦19,90€¦Libro¦9788426408341¦1337124.96¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
12¦El bosque de los cuatro vientos¦Oruña, María¦4000661385¦Destino¦19,85€¦20,90€¦Libro¦9788423357543¦1331906.57¦¦Áncora y Delfin¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
13¦Las alas de Sophie¦Kellen, Alice¦4000658738¦Planeta¦17,00€¦17,90€¦Libro¦9788408232841¦1339079.22¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
14¦La vida mentidera dels adults¦Ferrante, Elena¦A000544413¦La Campana¦18,90€¦19,90€¦Libro¦9788416863693¦1337121.53¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
15¦Fin de temporada¦Martínez de Pisón, Ignacio¦A000511976¦Seix Barral¦19,85€¦20,90€¦Libro¦9788432236990¦1339152.35¦Rústico¦Biblioteca Breve¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
16¦La companyia nòrdica¦Villaró, Albert¦A000512970¦Columna Edicions¦19,00€¦20,00€¦Libro¦9788466426794¦1339837.22¦Cartoné¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas
